X,CH1,CH2,
681,4.88e-01,0.00e+00,
682,4.88e-01,8.00e-02,
683,5.28e-01,0.00e+00,
684,5.20e-01,0.00e+00,
685,4.88e-01,8.00e-02,
686,5.20e-01,0.00e+00,
687,4.88e-01,8.00e-02,
688,4.88e-01,8.00e-02,
689,5.28e-01,0.00e+00,
690,4.88e-01,8.00e-02,
691,5.28e-01,0.00e+00,
692,5.20e-01,0.00e+00,
693,4.88e-01,8.00e-02,
694,4.88e-01,8.00e-02,
695,5.28e-01,0.00e+00,
696,4.88e-01,8.00e-02,
697,5.28e-01,0.00e+00,
698,5.20e-01,0.00e+00,
699,4.88e-01,8.00e-02,
700,7.12e-01,8.00e-02,
701,3.52e-01,0.00e+00,
702,5.44e-01,8.00e-02,
703,4.88e-01,0.00e+00,
704,2.56e-01,2.00e-02,
705,6.96e-01,8.00e-02,
706,5.20e-01,0.00e+00,
707,4.88e-01,8.00e-02,
708,4.88e-01,0.00e+00,
709,5.28e-01,8.00e-02,
710,5.28e-01,8.00e-02,
711,4.88e-01,0.00e+00,
712,5.20e-01,6.00e-02,
713,4.88e-01,0.00e+00,
714,4.88e-01,8.00e-02,
715,5.28e-01,0.00e+00,
716,4.88e-01,0.00e+00,
717,5.28e-01,8.00e-02,
718,5.20e-01,0.00e+00,
719,4.88e-01,8.00e-02,
720,5.28e-01,0.00e+00,
721,4.88e-01,8.00e-02,
722,5.20e-01,8.00e-02,
723,4.88e-01,0.00e+00,
724,5.20e-01,0.00e+00,
725,4.88e-01,8.00e-02,
726,5.20e-01,0.00e+00,
727,4.88e-01,8.00e-02,
728,4.88e-01,8.00e-02,
729,5.20e-01,0.00e+00,
730,4.88e-01,8.00e-02,
731,5.28e-01,0.00e+00,
732,6.88e-01,8.00e-02,
733,3.68e-01,0.00e+00,
734,5.28e-01,6.00e-02,
735,4.88e-01,0.00e+00,
736,2.56e-01,0.00e+00,
737,6.96e-01,8.00e-02,
738,4.88e-01,0.00e+00,
739,5.20e-01,8.00e-02,
740,4.88e-01,0.00e+00,
741,5.36e-01,8.00e-02,
742,5.20e-01,0.00e+00,
743,4.88e-01,8.00e-02,
744,5.20e-01,8.00e-02,
745,4.88e-01,0.00e+00,
746,5.20e-01,0.00e+00,
747,4.88e-01,8.00e-02,
748,4.88e-01,8.00e-02,
749,5.20e-01,0.00e+00,
750,5.20e-01,0.00e+00,
751,4.88e-01,8.00e-02,
752,5.20e-01,0.00e+00,
753,4.88e-01,8.00e-02,
754,4.88e-01,0.00e+00,
755,5.20e-01,8.00e-02,
756,4.88e-01,0.00e+00,
757,5.20e-01,8.00e-02,
758,4.88e-01,0.00e+00,
759,5.20e-01,8.00e-02,
760,4.88e-01,0.00e+00,
761,5.28e-01,8.00e-02,
762,5.20e-01,0.00e+00,
763,4.88e-01,8.00e-02,
764,7.12e-01,-2.00e-02,
765,3.52e-01,8.00e-02,
766,5.36e-01,0.00e+00,
767,4.88e-01,8.00e-02,
768,2.56e-01,2.00e-02,
769,6.96e-01,8.00e-02,
770,5.20e-01,0.00e+00,
771,4.88e-01,8.00e-02,
772,4.88e-01,8.00e-02,
773,5.28e-01,0.00e+00,
774,4.88e-01,8.00e-02,
775,5.28e-01,2.00e-02,
776,4.88e-01,0.00e+00,
777,5.20e-01,8.00e-02,
778,5.20e-01,0.00e+00,
779,4.88e-01,8.00e-02,
780,4.88e-01,8.00e-02,
781,5.28e-01,0.00e+00,
782,4.88e-01,8.00e-02,
783,5.28e-01,0.00e+00,
784,4.88e-01,8.00e-02,
785,5.20e-01,0.00e+00,
786,5.20e-01,8.00e-02,
787,4.88e-01,0.00e+00,
788,5.20e-01,2.00e-02,
789,4.88e-01,8.00e-02,
790,5.20e-01,8.00e-02,
791,4.88e-01,0.00e+00,
792,4.88e-01,8.00e-02,
793,5.28e-01,0.00e+00,
794,4.88e-01,8.00e-02,
795,5.28e-01,0.00e+00,
796,7.20e-01,0.00e+00,
797,3.52e-01,8.00e-02,
798,5.36e-01,8.00e-02,
799,4.88e-01,0.00e+00,
800,2.56e-01,0.00e+00,
801,6.96e-01,8.00e-02,
802,5.20e-01,8.00e-02,
803,4.88e-01,0.00e+00,
804,5.20e-01,0.00e+00,
805,4.88e-01,8.00e-02,
806,5.20e-01,0.00e+00,
807,4.88e-01,8.00e-02,
808,4.88e-01,8.00e-02,
809,5.20e-01,0.00e+00,
810,4.88e-01,0.00e+00,
811,5.20e-01,8.00e-02,
812,4.88e-01,8.00e-02,
813,5.20e-01,0.00e+00,
814,4.88e-01,8.00e-02,
815,5.20e-01,0.00e+00,
816,4.88e-01,0.00e+00,
817,5.20e-01,8.00e-02,
818,4.88e-01,0.00e+00,
